line_a,line_b,overlap,kmer,k,section
nurma[pomegranate]n,kid.da[twig]n,0,t,1,NA
kid.da[twig]n,kid.da[twig]n,2,kid.da,6,11
kid.da[twig]n,kid.da[twig]n_sil[split]v/i,2,kid.da,6,11
kid.da[twig]n_sil[split]v/i,mes[tree]n,0,t,1,NA
mes[tree]n,mes[tree]n_magan[1]gn,2,tree,4,12
mes[tree]n_magan[1]gn,mes[tree]n_meluhha[1]gn,3,tree,4,12
mes[tree]n_meluhha[1]gn,mes[tree]n_al₂[na]na,2,tree,4,12
mes[tree]n_al₂[na]na,mes.tu[tree]n,1,tree,4,12
mes.tu[tree]n,mes[tree]n_ki[place]n_ŋar[place]v/t,1,tree,4,12
mes[tree]n_ki[place]n_ŋar[place]v/t,mes[tree]n_halub[tree]n_harran[route]n,2,tree,4,12
mes[tree]n_halub[tree]n_harran[route]n,mes[tree]n_giggi[black]v/i,3,tree,4,12
mes[tree]n_giggi[black]v/i,eren[cedar]n,0,e,1,NA
eren[cedar]n,mud[blood]n_eren[cedar]n,2,cedar,5,13
mud[blood]n_eren[cedar]n,pa[branch]n_eren[cedar]n,2,cedar,5,13
pa[branch]n_eren[cedar]n,{ŋeš}udu-hi-a[na]na,0,a,1,NA
{ŋeš}udu-hi-a[na]na,asal[poplar]n,0,a,1,NA
asal[poplar]n,šurmen[cypress]n,0,p,1,NA
šurmen[cypress]n,zabalum[juniper]n,0,p,1,NA
zabalum[juniper]n,elammakum[tree]n,0,um,2,NA
elammakum[tree]n,girinum[plant]n,0,um,2,NA
girinum[plant]n,girim[flower]n,0,giri,4,14
girim[flower]n,zirdum[olive]n,0,ir,2,NA
zirdum[olive]n,urnum[cedar]n,0,um,2,NA
urnum[cedar]n,tiʾarum[tree]n,0,um,2,NA
tiʾarum[tree]n,ilianum[tree]n,1,tree,4,15
ilianum[tree]n,urzinum[tree]n,1,tree,4,15
urzinum[tree]n,mirišŋara[tree]n,1,tree,4,15
mirišŋara[tree]n,isimu[sprout]n,0,r,1,NA
isimu[sprout]n,ŋeš[tree]n_gibil[sprout]n,1,sprout,6,16
ŋeš[tree]n_gibil[sprout]n,ŋešnimbar[palm]n,0,ŋeš,3,16
ŋešnimbar[palm]n,ŋešnimbar[palm]n_suhuš[offshoot]n,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_suhuš[offshoot]n,ŋešnimbar[palm]n_kur[mountain]n,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_kur[mountain]n,ŋešnimbar[palm]n_dilmun[1]gn,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_dilmun[1]gn,ŋešnimbar[palm]n_dar[split]v/t,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_dar[split]v/t,ŋešnimbar[palm]n_kud[cut]v/t,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_kud[cut]v/t,ŋešnimbar[palm]n_šab[cut]v/t,3,ŋešnimbar,9,16
ŋešnimbar[palm]n_šab[cut]v/t,ŋešnimbar[palm]n_gun[load]n,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_gun[load]n,ŋešnimbar[palm]n_lu₂.im[criminal]n,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_lu₂.im[criminal]n,ŋešnimbar[palm]n_lipiš[innards]n_bur[tear]v/t,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_lipiš[innards]n_bur[tear]v/t,ŋešnimbar[palm]n_guz[crush]v/i,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_guz[crush]v/i,ŋešnimbar[palm]n_kum[hot]v/i,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_kum[hot]v/i,ŋešnimbar[palm]n_izi[fire]n_gu[eat]v/t,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_izi[fire]n_gu[eat]v/t,ŋešnimbar[palm]n_eh[insect]n_gu[eat]v/t,4,ŋešnimbar,9,16
ŋešnimbar[palm]n_eh[insect]n_gu[eat]v/t,ŋešnimbar[palm]n_gighab[disease]n,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_gighab[disease]n,ŋešnimbar[palm]n_ug[die]v/t,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_ug[die]v/t,ŋešnimbar[palm]n_gaz[kill]v/t,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_gaz[kill]v/t,ŋešnimbar[palm]n_uš[die]v/i,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_uš[die]v/i,ŋešnimbar[palm]n_sissig[green]v/i_šeŋ[cook]v/t,2,ŋešnimbar,9,16
ŋešnimbar[palm]n_sissig[green]v/i_šeŋ[cook]v/t,šag[heart]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
šag[heart]n_ŋešnimbar[palm]n,suhur[tuft]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
suhur[tuft]n_ŋešnimbar[palm]n,ama[mother]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
ama[mother]n_ŋešnimbar[palm]n,{ŋeš}ku[na]na_kiri[orchard]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
{ŋeš}ku[na]na_kiri[orchard]n_ŋešnimbar[palm]n,{ŋeš}ku[na]na_kiri[orchard]n_x[na]na_x[na]na_ŋešnimbar[palm]n,5,ŋešnimbar,9,16
{ŋeš}ku[na]na_kiri[orchard]n_x[na]na_x[na]na_ŋešnimbar[palm]n,aʾan[spadix]n_zag[side]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
aʾan[spadix]n_zag[side]n_ŋešnimbar[palm]n,pa[branch]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
pa[branch]n_ŋešnimbar[palm]n,pa[branch]n_kud[cut]v/t_ŋešnimbar[palm]n,4,ŋešnimbar,9,16
pa[branch]n_kud[cut]v/t_ŋešnimbar[palm]n,dala[thorn]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
dala[thorn]n_ŋešnimbar[palm]n,mud[stump]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
mud[stump]n_ŋešnimbar[palm]n,zena[midrib]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
zena[midrib]n_ŋešnimbar[palm]n,su[fibers]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
su[fibers]n_ŋešnimbar[palm]n,su[fibers]n_ga₂-na[na]na_ŋešnimbar[palm]n,4,ŋešnimbar,9,16
su[fibers]n_ga₂-na[na]na_ŋešnimbar[palm]n,su[fibers]n_gal[big]v/i_ŋešnimbar[palm]n,4,ŋešnimbar,9,16
su[fibers]n_gal[big]v/i_ŋešnimbar[palm]n,tubala[harness]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
tubala[harness]n_ŋešnimbar[palm]n,pel[defile]v/t_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
pel[defile]v/t_ŋešnimbar[palm]n,uluh[sapling]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
uluh[sapling]n_ŋešnimbar[palm]n,ŋali[~palm]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
ŋali[~palm]n_ŋešnimbar[palm]n,aʾan[spadix]n_ŋešnimbar[palm]n,3,ŋešnimbar,9,16
aʾan[spadix]n_ŋešnimbar[palm]n,kita[basket]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
kita[basket]n_ŋešnimbar[palm]n,kita[basket]n_zulum[date]n_deg[collect]v/t_ŋešnimbar[palm]n,4,ŋešnimbar,9,16
kita[basket]n_zulum[date]n_deg[collect]v/t_ŋešnimbar[palm]n,niŋkiluh[broom]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
niŋkiluh[broom]n_ŋešnimbar[palm]n,{ŋeš}niŋ₂-x[na]na_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
{ŋeš}niŋ₂-x[na]na_ŋešnimbar[palm]n,peš[frond]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
peš[frond]n_ŋešnimbar[palm]n,pešmur[~palm]n_ŋešnimbar[palm]n,2,ŋešnimbar,9,16
pešmur[~palm]n_ŋešnimbar[palm]n,pešbandazi[offshoot]n_ŋešnimbar[palm]n,3,ŋešnimbar,9,16
pešbandazi[offshoot]n_ŋešnimbar[palm]n,asal[poplar]n,0,o,1,NA
asal[poplar]n,asal[poplar]n_kur[mountain]n,2,poplar,6,17
asal[poplar]n_kur[mountain]n,asal[poplar]n_dug[good]v/i,2,poplar,6,17
asal[poplar]n_dug[good]v/i,{ŋeš}ne[na]na_asal[poplar]n,2,poplar,6,17
{ŋeš}ne[na]na_asal[poplar]n,numun[seed]n_asal[poplar]n,2,poplar,6,17
numun[seed]n_asal[poplar]n,ilur[tree]n,0,ee,2,NA
ilur[tree]n,ad[bush]n,0,NA,0,NA
ad[bush]n,kišig[acacia]n,0,NA,0,NA
kišig[acacia]n,kišighar[tree]n,0,kišig,5,18
kišighar[tree]n,kišighar[tree]n_kur[mountain]n,2,kišighar,8,18
kišighar[tree]n_kur[mountain]n,samana[tree]n,1,tree,4,18
samana[tree]n,samazum[tree]n,1,tree,4,18
samazum[tree]n,peškal[tree]n,1,tree,4,18
peškal[tree]n,šu.kal[tree]n,1,tree,4,18
šu.kal[tree]n,šudiba[tree]n,1,tree,4,18
šudiba[tree]n,šu.kal[tree]n,1,tree,4,18
šu.kal[tree]n,šušum[licorice]n,0,šu,2,NA
šušum[licorice]n,šiqdum[almond]n,0,um,2,NA
šiqdum[almond]n,zarsi[plant]n,0,l,1,NA
zarsi[plant]n,{ŋeš}mu-tum-da[na]na,0,a,1,NA
{ŋeš}mu-tum-da[na]na,zirdum[olive]n,0,um,2,NA
zirdum[olive]n,gizulumma[nettle?]n,0,um,2,NA
gizulumma[nettle?]n,buzunuma[plant]n,0,um,2,NA
buzunuma[plant]n,tulubum[tree]n,0,um,2,NA
tulubum[tree]n,anta[tree]n,1,tree,4,19
anta[tree]n,huš[plant]n,0,t,1,NA
huš[plant]n,maš[plant]n,1,plant,5,20
maš[plant]n,mašgurum[plant]n,1,plant,5,20
mašgurum[plant]n,guruʾuš[tree-trunk]n,0,guru,4,20
guruʾuš[tree-trunk]n,{ŋeš}saŋ-keš₂[na]na,0,š,1,NA
{ŋeš}saŋ-keš₂[na]na,{ŋeš}si[na]na_saŋ-keš₂[na]na,0,saŋ-keš₂,8,21
{ŋeš}si[na]na_saŋ-keš₂[na]na,arina[madder]n,0,i,1,NA
arina[madder]n,arina[madder]n,2,madder,6,22
arina[madder]n,gilim[foliage]n_an[sky]n,0,a,1,NA
gilim[foliage]n_an[sky]n,gilim[foliage]n_abzu[water]n,2,foliage,7,23
gilim[foliage]n_abzu[water]n,uluh[sapling]n,0,li,2,NA
uluh[sapling]n,pa[branch]n,0,a,1,NA
pa[branch]n,pa[branch]n_kud[cut]v/t,2,branch,6,24
pa[branch]n_kud[cut]v/t,buniŋ[trough]n,0,r,1,NA
buniŋ[trough]n,aslum[rod]n,0,ro,2,NA
aslum[rod]n,{ŋeš}x-gu₂[na]na,0,u,1,NA
{ŋeš}x-gu₂[na]na,{ŋeš}|lagab×a|-da[na]na,0,{ŋeš},5,25
{ŋeš}|lagab×a|-da[na]na,dibdib[waterclock]n,0,d,1,NA
dibdib[waterclock]n,{ŋeš}u₅[na]na,0,NA,0,NA
{ŋeš}u₅[na]na,ŋešgana[pestle]n,0,ŋeš,3,26
ŋešgana[pestle]n,{ŋeš}kal-la-bi[na]na,0,ŋeš,3,26
{ŋeš}kal-la-bi[na]na,{ŋeš}x-bi[na]na,0,{ŋeš},5,26
{ŋeš}x-bi[na]na,{ŋeš}gu₇[na]na,0,{ŋeš},5,26
{ŋeš}gu₇[na]na,{ŋeš}{d}ha-ia₃[na]na,0,{ŋeš},5,26
{ŋeš}{d}ha-ia₃[na]na,ŋešdubdim[tool]n,0,ŋeš,3,26
ŋešdubdim[tool]n,sumungi[tool]n,1,tool,4,26
sumungi[tool]n,tibala[sign]n,0,i,1,NA
tibala[sign]n,ŋeššudumak[tally]n,0,a,1,NA
ŋeššudumak[tally]n,tun[container]n,0,ta,2,NA
tun[container]n,ba[tool]n,0,t,1,NA
ba[tool]n,ba[tool]n_zu[stone]n,2,tool,4,27
ba[tool]n_zu[stone]n,ba[tool]n_amar[young]n,2,tool,4,27
ba[tool]n_amar[young]n,ba[tool]n_še[barley]n,2,tool,4,27
ba[tool]n_še[barley]n,ba[tool]n_šab[cut]v/t,2,tool,4,27
ba[tool]n_šab[cut]v/t,ba[tool]n_gur[unit]n,2,tool,4,27
ba[tool]n_gur[unit]n,ba[tool]n_pa[branch]n,2,tool,4,27
ba[tool]n_pa[branch]n,{ŋeš}hub₂[na]na,0,b,1,NA
{ŋeš}hub₂[na]na,ŋešnaruak[~stele]n,0,ŋeš,3,28
ŋešnaruak[~stele]n,šibir[staff]n_šudu[equipped]aj,0,st,2,NA
šibir[staff]n_šudu[equipped]aj,niŋna[incense]n_mud[blood]n,0,ud,2,NA
niŋna[incense]n_mud[blood]n,guza[chair]n,0,c,1,NA
guza[chair]n,guza[chair]n_sag[rare]v/i,2,chair,5,29
guza[chair]n_sag[rare]v/i,guza[chair]n_gid[long]v/i,2,chair,5,29
guza[chair]n_gid[long]v/i,guza[chair]n_sirda[cnne]n,2,chair,5,29
guza[chair]n_sirda[cnne]n,guza[chair]n_munus[woman]n,2,chair,5,29
guza[chair]n_munus[woman]n,guza[chair]n_malah[sailor]n,2,chair,5,29
guza[chair]n_malah[sailor]n,guza[chair]n_ŋeškiŋti[workshop]n,2,chair,5,29
guza[chair]n_ŋeškiŋti[workshop]n,guza[chair]n_niŋba[gift]n,2,chair,5,29
guza[chair]n_niŋba[gift]n,guza[chair]n_niŋšu[goods]n,2,chair,5,29
guza[chair]n_niŋšu[goods]n,guza[chair]n_gigir[chariot]n,2,chair,5,29
guza[chair]n_gigir[chariot]n,guza[chair]n_anše[equid]n,2,chair,5,29
guza[chair]n_anše[equid]n,guza[chair]n_kaskal[way]n,2,chair,5,29
guza[chair]n_kaskal[way]n,guza[chair]n_ŋarza[rites]n,2,chair,5,29
guza[chair]n_ŋarza[rites]n,guza[chair]n_namlugal[kingship]n,2,chair,5,29
guza[chair]n_namlugal[kingship]n,guza[chair]n_namen[priesthood]n,2,chair,5,29
guza[chair]n_namen[priesthood]n,guza[chair]n_namnin[ladyship]n,2,chair,5,29
guza[chair]n_namnin[ladyship]n,guza[chair]n_šag[heart]n_hul[rejoice]v/i,2,chair,5,29
guza[chair]n_šag[heart]n_hul[rejoice]v/i,guza[chair]n_šusar[string]n_du[build]v/t,2,chair,5,29
guza[chair]n_šusar[string]n_du[build]v/t,guza[chair]n_kadu[cover]n_du[build]v/t,4,chair,5,29
guza[chair]n_kadu[cover]n_du[build]v/t,guza[chair]n_šah[pig]n_šum[slaughter]v/t,2,chair,5,29
guza[chair]n_šah[pig]n_šum[slaughter]v/t,guza[chair]n_magan[1]gn,2,chair,5,29
guza[chair]n_magan[1]gn,guza[chair]n_meluhha[1]gn,3,chair,5,29
guza[chair]n_meluhha[1]gn,guza[chair]n_malah[sailor]n,2,chair,5,29
guza[chair]n_malah[sailor]n,guza[chair]n_aratta[1]sn,2,chair,5,29
guza[chair]n_aratta[1]sn,guza[chair]n_nita[male]n,2,chair,5,29
guza[chair]n_nita[male]n,guza[chair]n_munus[woman]n,2,chair,5,29
guza[chair]n_munus[woman]n,guza[chair]n_unkin[assembly]n,2,chair,5,29
guza[chair]n_unkin[assembly]n,guza[chair]n_lukur[priestess]n,2,chair,5,29
guza[chair]n_lukur[priestess]n,guza[chair]n_gidim[ghost]n,2,chair,5,29
guza[chair]n_gidim[ghost]n,guza[chair]n_ki[place]n_uš[die]v/i,2,chair,5,29
guza[chair]n_ki[place]n_uš[die]v/i,guza[chair]n_silim[healthy]v/i,2,chair,5,29
guza[chair]n_silim[healthy]v/i,guza[chair]n_taškarin[boxwood]n,2,chair,5,29
guza[chair]n_taškarin[boxwood]n,guza[chair]n_esi[tree]n,2,chair,5,29
guza[chair]n_esi[tree]n,guza[chair]n_šagkal[tree]n,3,chair,5,29
guza[chair]n_šagkal[tree]n,guza[chair]n_mes[tree]n,3,chair,5,29
guza[chair]n_mes[tree]n,guza[chair]n_mes[tree]n_magan[1]gn,4,chair,5,29
guza[chair]n_mes[tree]n_magan[1]gn,guza[chair]n_mes[tree]n_meluhha[1]gn,5,chair,5,29
guza[chair]n_mes[tree]n_meluhha[1]gn,guza[chair]n_gar[knob]n,2,chair,5,29
guza[chair]n_gar[knob]n,guza[chair]n_gar[knob]n_kugbabbar[silver]n_ŋar[place]v/t,4,chair,5,29
guza[chair]n_gar[knob]n_kugbabbar[silver]n_ŋar[place]v/t,guza[chair]n_gar[knob]n_kugsig[gold]n_ŋar[place]v/t,6,chair,5,29
guza[chair]n_gar[knob]n_kugsig[gold]n_ŋar[place]v/t,guza[chair]n_gar[knob]n_zabar[bronze]n_ŋar[place]v/t,6,chair,5,29
guza[chair]n_gar[knob]n_zabar[bronze]n_ŋar[place]v/t,guza[chair]n_gar[knob]n_kuš[skin]n_ŋar[place]v/t,6,chair,5,29
guza[chair]n_gar[knob]n_kuš[skin]n_ŋar[place]v/t,bad[leg]n_guza[chair]n,2,chair,5,29
bad[leg]n_guza[chair]n,saŋ[head]n_guza[chair]n,2,chair,5,29
saŋ[head]n_guza[chair]n,ŋešdi[rung]n_guza[chair]n,2,chair,5,29
ŋešdi[rung]n_guza[chair]n,izzi[wall]n_guza[chair]n,2,chair,5,29
izzi[wall]n_guza[chair]n,umbin[base]n_guza[chair]n,2,chair,5,29
umbin[base]n_guza[chair]n,šuʾa[stool]n,0,s,1,NA
šuʾa[stool]n,šuʾa[stool]n_dus[bathroom]n,2,stool,5,30
šuʾa[stool]n_dus[bathroom]n,šuʾa[stool]n_nagar[carpenter]n,2,stool,5,30
šuʾa[stool]n_nagar[carpenter]n,šuʾa[stool]n_burgul[stone-cutter]n,2,stool,5,30
šuʾa[stool]n_burgul[stone-cutter]n,šuʾa[stool]n_tibira[sculptor]n,2,stool,5,30
šuʾa[stool]n_tibira[sculptor]n,šuʾa[stool]n_kaskal[way]n,2,stool,5,30
šuʾa[stool]n_kaskal[way]n,šuʾa[stool]n_niŋgula[greatness]n,2,stool,5,30
šuʾa[stool]n_niŋgula[greatness]n,ŋirigub[footstool]n,0,stool,5,30
ŋirigub[footstool]n,ŋirigub[footstool]n_{d}lama[na]na,2,footstool,9,30
ŋirigub[footstool]n_{d}lama[na]na,ŋirigub[footstool]n_zu[tooth]n_amsi[elephant]n,2,footstool,9,30
ŋirigub[footstool]n_zu[tooth]n_amsi[elephant]n,ŋešnud[bed]n,0,e,1,NA
ŋešnud[bed]n,ŋeš.nud.aš.nud[bed]n,1,bed,3,31
ŋeš.nud.aš.nud[bed]n,ŋešnud[bed]n_kinud[bedroom]n,1,bed,3,31
ŋešnud[bed]n_kinud[bedroom]n,ŋešnud[bed]n_gu[neck]n_zig[rise]v/t,2,ŋešnud,6,31
ŋešnud[bed]n_gu[neck]n_zig[rise]v/t,ŋešnud[bed]n_umbin[nail]n,2,ŋešnud,6,31
ŋešnud[bed]n_umbin[nail]n,ŋešnud[bed]n_umbin[nail]n_gud[ox]n,4,ŋešnud,6,31
ŋešnud[bed]n_umbin[nail]n_gud[ox]n,ŋešnud[bed]n_šatuku[mattress]n,2,ŋešnud,6,31
ŋešnud[bed]n_šatuku[mattress]n,ŋešnud[bed]n_šatuku[mattress]n_siki[hair]n_garig[comb]n_ak[do]v/t,4,mattress,8,31
ŋešnud[bed]n_šatuku[mattress]n_siki[hair]n_garig[comb]n_ak[do]v/t,ŋešnud[bed]n_ur₄-ma[na]na,2,ŋešnud,6,31
ŋešnud[bed]n_ur₄-ma[na]na,zag[side]n_andul[shade]n_ŋešnud[bed]n,2,ŋešnud,6,31
zag[side]n_andul[shade]n_ŋešnud[bed]n,barsig[garment]n_ŋešnud[bed]n,2,ŋešnud,6,31
barsig[garment]n_ŋešnud[bed]n,bad[leg]n_ŋešnud[bed]n,2,ŋešnud,6,31
bad[leg]n_ŋešnud[bed]n,saŋ[head]n_ŋešnud[bed]n,2,ŋešnud,6,31
saŋ[head]n_ŋešnud[bed]n,ŋešdi[rung]n_ŋešnud[bed]n,2,ŋešnud,6,31
ŋešdi[rung]n_ŋešnud[bed]n,izzi[wall]n_ŋešnud[bed]n,2,ŋešnud,6,31
izzi[wall]n_ŋešnud[bed]n,umbin[base]n_ŋešnud[bed]n,2,ŋešnud,6,31
umbin[base]n_ŋešnud[bed]n,dilimgal[dish]n,0,s,1,NA
dilimgal[dish]n,dilim[spoon]n,0,dilim,5,32
dilim[spoon]n,dilimbanda[bowl]n,0,dilim,5,32
dilimbanda[bowl]n,maltum[bowl]n,1,bowl,4,32
maltum[bowl]n,banšur[table]n,0,b,1,NA
banšur[table]n,dilim[spoon]n_banšur[table]n,2,banšur,6,33
dilim[spoon]n_banšur[table]n,umbin[base]n_banšur[table]n,2,banšur,6,33
umbin[base]n_banšur[table]n,banšurzaggula[table]n,1,banšur,6,33
banšurzaggula[table]n,banšur[table]n_zagŋara[shrine]n,1,banšur,6,33
banšur[table]n_zagŋara[shrine]n,kaŋeškarak[table]n,1,table,5,33
kaŋeškarak[table]n,kaŋeškarak[table]n_zu[tooth]n_amsi[elephant]n_sig[put]v/t,2,kaŋeškarak,10,33
kaŋeškarak[table]n_zu[tooth]n_amsi[elephant]n_sig[put]v/t,maštakda[wooden-object]n,0,oo,2,NA
maštakda[wooden-object]n,emerah[jug]n,0,j,1,NA
emerah[jug]n,emerah[jug]n_x-x[na]na_ga[milk]n,2,emerah,6,34
emerah[jug]n_x-x[na]na_ga[milk]n,emerah[jug]n_ti[na]na,2,emerah,6,34
emerah[jug]n_ti[na]na,murzanum[wooden-object]n,0,j,1,NA
murzanum[wooden-object]n,kuŋ[stair]n,0,t,1,NA
kuŋ[stair]n,kuŋ[stair]n_bad[wall]n,2,stair,5,35
kuŋ[stair]n_bad[wall]n,kuŋ[stair]n_me[being]n_nu-ku[na]na,2,stair,5,35
kuŋ[stair]n_me[being]n_nu-ku[na]na,x[na]na,0,NA,0,NA
x[na]na,u[planking]n_kuŋ[stair]n,0,NA,0,NA
u[planking]n_kuŋ[stair]n,suku[pole]n_kuŋ[stair]n,2,stair,5,36
suku[pole]n_kuŋ[stair]n,buniŋ[trough]n,0,o,1,NA
buniŋ[trough]n,buniŋ[trough]n_tur[small]v/i,2,trough,6,37
buniŋ[trough]n_tur[small]v/i,buniŋ[trough]n_zu-bar-ra[na]na,2,trough,6,37
buniŋ[trough]n_zu-bar-ra[na]na,naŋa[mortar]n,0,o,1,NA
naŋa[mortar]n,naŋa[mortar]n_še[barley]n,2,mortar,6,38
naŋa[mortar]n_še[barley]n,naŋa[mortar]n_ŋeši[sesame]n,2,mortar,6,38
naŋa[mortar]n_ŋeši[sesame]n,naŋa[mortar]n_esir[bitumen]n_ea[~bitumen]n,2,mortar,6,38
naŋa[mortar]n_esir[bitumen]n_ea[~bitumen]n,tukul[weapon]n_naŋasikaz[pestle]n,0,naŋa,4,38
tukul[weapon]n_naŋasikaz[pestle]n,ŋešgana[pestle]n,1,pestle,6,38
ŋešgana[pestle]n,girah[tool]n,0,t,1,NA
girah[tool]n,mete[appropriate-thing]n_šidim[builder]n,0,o,1,NA
mete[appropriate-thing]n_šidim[builder]n,emesig[plank]n,0,me,2,NA
emesig[plank]n,miriza[plank]n,1,plank,5,39
miriza[plank]n,miriza[plank]n_zag[side]n_gi[turn]v/i,2,miriza,6,39
miriza[plank]n_zag[side]n_gi[turn]v/i,ma[ship]n,0,p,1,NA
ma[ship]n,magur[barge]n,0,ma,2,NA
