line_a,line_b,overlap,kmer,k,section
udu[sheep]n_mur[lung]n_šub[fall]v/t,udu[sheep]n_gum[mange]n_šub[fall]v/t,4,sheep,5,1
udu[sheep]n_gum[mange]n_šub[fall]v/t,udu[sheep]n_ib[hips]n_gig[sick]v/i,2,sheep,5,1
udu[sheep]n_ib[hips]n_gig[sick]v/i,udu[sheep]n_šag[heart]n_sur[press]v/t,2,sheep,5,1
udu[sheep]n_šag[heart]n_sur[press]v/t,udu[sheep]n_du[push]v/t,2,sheep,5,1
udu[sheep]n_du[push]v/t,udu[sheep]n_gurgur[~animal]n,2,sheep,5,1
udu[sheep]n_gurgur[~animal]n,udu[sheep]n_ur[roof]n,2,sheep,5,1
udu[sheep]n_ur[roof]n,udu[sheep]n_ne[na]na_ur[roof]n,4,sheep,5,1
udu[sheep]n_ne[na]na_ur[roof]n,udu[sheep]n_nim[high]v/i,2,sheep,5,1
udu[sheep]n_nim[high]v/i,udu[sheep]n_nim[high]v/i,4,sheep,5,1
udu[sheep]n_nim[high]v/i,udu[sheep]n_saŋ[head]n_nim[high]v/i,4,sheep,5,1
udu[sheep]n_saŋ[head]n_nim[high]v/i,udu[sheep]n_saʾadgal[disease]n,2,sheep,5,1
udu[sheep]n_saʾadgal[disease]n,udu[sheep]n_saʾadnim[disease]n,3,disease,7,1
udu[sheep]n_saʾadnim[disease]n,udu[sheep]n_siʾilla[inspection]n,2,sheep,5,1
udu[sheep]n_siʾilla[inspection]n,udu[sheep]n_si[horn]n_min[two]nu_la[hang]v/t,2,sheep,5,1
udu[sheep]n_si[horn]n_min[two]nu_la[hang]v/t,udu[sheep]n_zusiga[~sheep]n,2,sheep,5,1
udu[sheep]n_zusiga[~sheep]n,udu[sheep]n_zusiga[~sheep]n_kur[mountain]n,4,zusiga,6,1
udu[sheep]n_zusiga[~sheep]n_kur[mountain]n,udu[sheep]n_zusiga[~sheep]n_mar.tu[westerner]n,4,zusiga,6,1
udu[sheep]n_zusiga[~sheep]n_mar.tu[westerner]n,udu[sheep]n_maššugidgid[diviner]n,3,sheep,5,1
udu[sheep]n_maššugidgid[diviner]n,udu[sheep]n_mašdarea[payment]n,2,sheep,5,1
udu[sheep]n_mašdarea[payment]n,udu[sheep]n_namuruna[~herd]n,2,sheep,5,1
udu[sheep]n_namuruna[~herd]n,udu[sheep]n_namraʾak[booty]n,2,sheep,5,1
udu[sheep]n_namraʾak[booty]n,udu[sheep]n_namerim[oath]n,2,sheep,5,1
udu[sheep]n_namerim[oath]n,udu[sheep]n_eana[1]tn,2,sheep,5,1
udu[sheep]n_eana[1]tn,udu[sheep]n_dagaltuma[pouch]n,2,sheep,5,1
udu[sheep]n_dagaltuma[pouch]n,udu[sheep]n_barŋal[~sheep]n,2,sheep,5,1
udu[sheep]n_barŋal[~sheep]n,udu[sheep]n_barsuga[~sheep]aj,3,sheep,5,1
udu[sheep]n_barsuga[~sheep]aj,udu[sheep]n_barsal[sheep]n,3,sheep,5,1
udu[sheep]n_barsal[sheep]n,udu[sheep]n_ŋirtab[scorpion]n,3,sheep,5,1
udu[sheep]n_ŋirtab[scorpion]n,udu[sheep]n_zulumhi[sheep]n,2,sheep,5,1
udu[sheep]n_zulumhi[sheep]n,udu[sheep]n_gaba[chest]n,3,sheep,5,1
udu[sheep]n_gaba[chest]n,udu[sheep]n_gabaria[offering]n,2,sheep,5,1
udu[sheep]n_gabaria[offering]n,udu[sheep]n_igidu[gift]n,2,sheep,5,1
udu[sheep]n_igidu[gift]n,udu[sheep]n_urri[~sheep]n,2,sheep,5,1
udu[sheep]n_urri[~sheep]n,udu[sheep]n_zag[side]n_urri[~sheep]n,4,sheep,5,1
udu[sheep]n_zag[side]n_urri[~sheep]n,udu[sheep]n_bala[turn]v/t_zag[side]n_urri[~sheep]n,6,sheep,5,1
udu[sheep]n_bala[turn]v/t_zag[side]n_urri[~sheep]n,udu[sheep]n_ri[unmng]n,3,sheep,5,1
udu[sheep]n_ri[unmng]n,udu[sheep]n_sig[pluck]v/t,2,sheep,5,1
udu[sheep]n_sig[pluck]v/t,udu[sheep]n_a[water]n_ak[do]v/t,2,sheep,5,1
udu[sheep]n_a[water]n_ak[do]v/t,udu[sheep]n_lipiš[innards]n,2,sheep,5,1
udu[sheep]n_lipiš[innards]n,udu[sheep]n_zuh[steal]v/t,2,sheep,5,1
udu[sheep]n_zuh[steal]v/t,udu[sheep]n_tug₂.da[~sheep]n,2,sheep,5,1
udu[sheep]n_tug₂.da[~sheep]n,udu[sheep]n_adda[corpse]n,3,sheep,5,1
udu[sheep]n_adda[corpse]n,udu[sheep]n_kurušda[fattener]n,2,sheep,5,1
udu[sheep]n_kurušda[fattener]n,udu[sheep]n_kurušda[fattener]n,4,fattener,8,1
udu[sheep]n_kurušda[fattener]n,udu[sheep]n_ŋissu[shade]n,2,sheep,5,1
udu[sheep]n_ŋissu[shade]n,udu[sheep]n_sug[empty]v/i,2,sheep,5,1
udu[sheep]n_sug[empty]v/i,udu[sheep]n_ŋešbun[meal]n,2,sheep,5,1
udu[sheep]n_ŋešbun[meal]n,udu[sheep]n_ki.kaš.ni[meal]n,3,sheep,5,1
udu[sheep]n_ki.kaš.ni[meal]n,udu[sheep]n_ki[place]n_ŋar[place]v/t,2,sheep,5,1
udu[sheep]n_ki[place]n_ŋar[place]v/t,udu[sheep]n_gu[neck]n_ŋar[place]v/t,5,sheep,5,1
udu[sheep]n_gu[neck]n_ŋar[place]v/t,udu[sheep]n_šum[slaughter]v/t,2,sheep,5,1
udu[sheep]n_šum[slaughter]v/t,udu[sheep]n_šušuma[consignment]n,2,sheep,5,1
udu[sheep]n_šušuma[consignment]n,udu[sheep]n_šuduʾa[guarantee]n,2,sheep,5,1
udu[sheep]n_šuduʾa[guarantee]n,udu[sheep]n_šu[hand]n_saŋ[head]n_dug[speak]v/t,2,sheep,5,1
udu[sheep]n_šu[hand]n_saŋ[head]n_dug[speak]v/t,udu[sheep]n_zilkum[~animal]n,2,sheep,5,1
udu[sheep]n_zilkum[~animal]n,udu[sheep]n_terzum[presentation]n,2,sheep,5,1
udu[sheep]n_terzum[presentation]n,udu[sheep]n_dimma[~sheep]n,2,sheep,5,1
udu[sheep]n_dimma[~sheep]n,udu[sheep]n_sam[price]n,3,sheep,5,1
udu[sheep]n_sam[price]n,udu[sheep]n_šakanka[market]n,2,sheep,5,1
udu[sheep]n_šakanka[market]n,udu[sheep]n_siškur[prayer]n,2,sheep,5,1
udu[sheep]n_siškur[prayer]n,udu[sheep]n_šud[prayer]n,3,prayer,6,1
udu[sheep]n_šud[prayer]n,udu[sheep]n_ešeš[festival]n,2,sheep,5,1
udu[sheep]n_ešeš[festival]n,udu[sheep]n_sikil[pure]v/i,2,sheep,5,1
udu[sheep]n_sikil[pure]v/i,udu[sheep]n_saŋ[head]n_sikil[pure]v/i,4,sheep,5,1
udu[sheep]n_saŋ[head]n_sikil[pure]v/i,udu[sheep]n_mu[name]n_pad[find]v/t,2,sheep,5,1
udu[sheep]n_mu[name]n_pad[find]v/t,udu[sheep]n_kadra[gift]n,2,sheep,5,1
udu[sheep]n_kadra[gift]n,udu[sheep]n_niŋdea[gift]n,3,sheep,5,1
udu[sheep]n_niŋdea[gift]n,udu[sheep]n_niŋdea[gift]n_munus[woman]n,4,niŋdea,6,1
udu[sheep]n_niŋdea[gift]n_munus[woman]n,udu[sheep]n_sila[bait]n_urbara[wolf]n,2,sheep,5,1
udu[sheep]n_sila[bait]n_urbara[wolf]n,udu[sheep]n_gug[grass]n_nud[lie]v/t,2,sheep,5,1
udu[sheep]n_gug[grass]n_nud[lie]v/t,udu[sheep]n_hi[mix]v/t,2,sheep,5,1
udu[sheep]n_hi[mix]v/t,udu[sheep]n_mašanše[animals]n,2,sheep,5,1
udu[sheep]n_mašanše[animals]n,udu[sheep]n_babbar[white]v/i,2,sheep,5,1
udu[sheep]n_babbar[white]v/i,udu[sheep]n_giggi[black]v/i,2,sheep,5,1
udu[sheep]n_giggi[black]v/i,udu[sheep]n_su[red]v/i,2,sheep,5,1
udu[sheep]n_su[red]v/i,udu[sheep]n_sissig[green]v/i,2,sheep,5,1
udu[sheep]n_sissig[green]v/i,udu[sheep]n_gunu[speckled]v/i,2,sheep,5,1
udu[sheep]n_gunu[speckled]v/i,udu[sheep]n_mu[sound]v/i_ša[cvve]v/t,2,sheep,5,1
udu[sheep]n_mu[sound]v/i_ša[cvve]v/t,u[ewe]n,0,e,1,NA
u[ewe]n,u[ewe]n_šag[heart]n,2,ewe,3,2
u[ewe]n_šag[heart]n,u[ewe]n_šagpeš[pregnant]aj,2,ewe,3,2
u[ewe]n_šagpeš[pregnant]aj,u[ewe]n_utud[bear]v/t,2,ewe,3,2
u[ewe]n_utud[bear]v/t,u[ewe]n_utud[bear]v/t,4,bear,4,2
u[ewe]n_utud[bear]v/t,u[ewe]n_ŋeš[penis]n_zu[know]v/t,2,ewe,3,2
u[ewe]n_ŋeš[penis]n_zu[know]v/t,u[ewe]n_ŋeš[penis]n_zu[know]v/t,6,penis,5,2
u[ewe]n_ŋeš[penis]n_zu[know]v/t,u[ewe]n_ib[hips]n_gig[sick]v/i,2,ewe,3,2
u[ewe]n_ib[hips]n_gig[sick]v/i,u[ewe]n_šag[heart]n_sur[press]v/t,2,ewe,3,2
u[ewe]n_šag[heart]n_sur[press]v/t,u[ewe]n_sila[lamb]n_utud[bear]v/t,2,ewe,3,2
u[ewe]n_sila[lamb]n_utud[bear]v/t,u[ewe]n_sila[lamb]n_du[go]v/t,4,lamb,4,2
u[ewe]n_sila[lamb]n_du[go]v/t,u[ewe]n_sila[lamb]n_šub[fall]v/t,4,lamb,4,2
u[ewe]n_sila[lamb]n_šub[fall]v/t,u[ewe]n_si[horn]n_mu[grow]v/t,2,ewe,3,2
u[ewe]n_si[horn]n_mu[grow]v/t,u[ewe]n_deg[collect]v/t,2,ewe,3,2
u[ewe]n_deg[collect]v/t,u[ewe]n_na[cvne]n_deg[collect]v/t,4,collect,7,2
u[ewe]n_na[cvne]n_deg[collect]v/t,u[ewe]n_gangig[miscarriage]n_dug[speak]v/t,2,ewe,3,2
u[ewe]n_gangig[miscarriage]n_dug[speak]v/t,uzud[goat]n,0,g,1,NA
uzud[goat]n,uzud[goat]n_gi[turn]v/i,2,goat,4,3
uzud[goat]n_gi[turn]v/i,uzud[goat]n_šag[heart]n,2,goat,4,3
uzud[goat]n_šag[heart]n,uzud[goat]n_šagpeš[pregnant]aj,2,goat,4,3
uzud[goat]n_šagpeš[pregnant]aj,uzud[goat]n_utud[bear]v/t,2,goat,4,3
uzud[goat]n_utud[bear]v/t,uzud[goat]n_utud[bear]v/t,4,goat,4,3
uzud[goat]n_utud[bear]v/t,uzud[goat]n_ŋeš[penis]n_zu[know]v/t,2,goat,4,3
uzud[goat]n_ŋeš[penis]n_zu[know]v/t,uzud[goat]n_ŋeš[penis]n_zu[know]v/t,6,penis,5,3
uzud[goat]n_ŋeš[penis]n_zu[know]v/t,uzud[goat]n_ib[hips]n_gig[sick]v/i,2,goat,4,3
uzud[goat]n_ib[hips]n_gig[sick]v/i,uzud[goat]n_šag[heart]n_sur[press]v/t,2,goat,4,3
uzud[goat]n_šag[heart]n_sur[press]v/t,maš[goat]n,1,goat,4,3
maš[goat]n,mašgal[goat]n,1,goat,4,3
mašgal[goat]n,maš[goat]n_saŋ[head]n,1,goat,4,3
maš[goat]n_saŋ[head]n,maš[goat]n_zu[tooth]n,2,goat,4,3
maš[goat]n_zu[tooth]n,maš[goat]n_zu[tooth]n_rah[beat]v/t,4,tooth,5,3
maš[goat]n_zu[tooth]n_rah[beat]v/t,maš[goat]n_gaba[chest]n,2,goat,4,3
maš[goat]n_gaba[chest]n,maš[goat]n_gabaria[offering]n,2,goat,4,3
maš[goat]n_gabaria[offering]n,maš[goat]n_igidu[gift]n,2,goat,4,3
maš[goat]n_igidu[gift]n,maš[goat]n_gub[~sheep]v/t,2,goat,4,3
maš[goat]n_gub[~sheep]v/t,maš[goat]n_lipiš[innards]n,2,goat,4,3
maš[goat]n_lipiš[innards]n,maš[goat]n_sala[bug-ridden]aj,2,goat,4,3
maš[goat]n_sala[bug-ridden]aj,maš[goat]n_kur[mountain]n,2,goat,4,3
maš[goat]n_kur[mountain]n,maš[goat]n_sakeškešsa[bug-ridden]n,2,goat,4,3
maš[goat]n_sakeškešsa[bug-ridden]n,maš[goat]n_guʾeguʾe[fatty?]aj,2,goat,4,3
maš[goat]n_guʾeguʾe[fatty?]aj,maš[goat]n_min[two]nu,2,goat,4,3
maš[goat]n_min[two]nu,maš[goat]n_eš[three]nu,2,goat,4,3
maš[goat]n_eš[three]nu,maš[goat]n_babbar[white]v/i,2,goat,4,3
maš[goat]n_babbar[white]v/i,maš[goat]n_giggi[black]v/i,2,goat,4,3
maš[goat]n_giggi[black]v/i,maš[goat]n_su[red]v/i,2,goat,4,3
maš[goat]n_su[red]v/i,maš[goat]n_kiŋgia[~animal]n,2,goat,4,3
maš[goat]n_kiŋgia[~animal]n,sila[lamb]n,0,a,1,NA
sila[lamb]n,sila[lamb]n_kiŋgia[~animal]n,2,lamb,4,4
sila[lamb]n_kiŋgia[~animal]n,sila[lamb]n_gaba[chest]n,2,lamb,4,4
sila[lamb]n_gaba[chest]n,sila[lamb]n_gabaria[offering]n,2,lamb,4,4
sila[lamb]n_gabaria[offering]n,sila[lamb]n_igidu[gift]n,2,lamb,4,4
sila[lamb]n_igidu[gift]n,sila[lamb]n_nim[high]v/i,2,lamb,4,4
sila[lamb]n_nim[high]v/i,sila[lamb]n_ud[sun]n_buru[harvest]n,2,lamb,4,4
sila[lamb]n_ud[sun]n_buru[harvest]n,sila[lamb]n_enten[winter]n,2,lamb,4,4
sila[lamb]n_enten[winter]n,sila[lamb]n_maš[goat]n,2,lamb,4,4
sila[lamb]n_maš[goat]n,sila[lamb]n_aslum[sheep]n,2,lamb,4,4
sila[lamb]n_aslum[sheep]n,sila[lamb]n_ga[milk]n,2,lamb,4,4
sila[lamb]n_ga[milk]n,sila[lamb]n_ga[milk]n_gu[eat]v/t,4,lamb,4,4
sila[lamb]n_ga[milk]n_gu[eat]v/t,sila[lamb]n_ga[milk]n_naŋ[drink]v/t,4,lamb,4,4
sila[lamb]n_ga[milk]n_naŋ[drink]v/t,sila[lamb]n_ga[milk]n_sub[rub]v/t,4,lamb,4,4
sila[lamb]n_ga[milk]n_sub[rub]v/t,kir[lamb]n_gub[~sheep]v/t,1,lamb,4,4
kir[lamb]n_gub[~sheep]v/t,sila[lamb]n_gub[~sheep]v/t,3,sheep,5,4
sila[lamb]n_gub[~sheep]v/t,kir[lamb]n_dili[single]v/i_ur[pluck]v/t,1,lamb,4,4
kir[lamb]n_dili[single]v/i_ur[pluck]v/t,sila[lamb]n_dili[single]v/i_ur[pluck]v/t,5,single,6,4
sila[lamb]n_dili[single]v/i_ur[pluck]v/t,ašgar[kid]n,0,i,1,NA
ašgar[kid]n,ašgar[kid]n_ŋeš[penis]n_zu[know]v/t,2,ašgar,5,5
ašgar[kid]n_ŋeš[penis]n_zu[know]v/t,ašgar[kid]n_ŋeš[penis]n_zu[know]v/t,6,penis,5,5
ašgar[kid]n_ŋeš[penis]n_zu[know]v/t,gud[ox]n,0,o,1,NA
gud[ox]n,gud[ox]n_a[arm]n_ur[harness]n,2,gud,3,6
gud[ox]n_a[arm]n_ur[harness]n,gud[ox]n_ŋešdu[breeder]n,2,gud,3,6
gud[ox]n_ŋešdu[breeder]n,gud[ox]n_ŋeštaga[sacrifice]n,2,gud,3,6
gud[ox]n_ŋeštaga[sacrifice]n,gud[ox]n_mah[mature]v/i,2,gud,3,6
gud[ox]n_mah[mature]v/i,gud[ox]n_šugi[senior]n,2,gud,3,6
gud[ox]n_šugi[senior]n,gud[ox]n_šuagina[offerings]n,2,gud,3,6
gud[ox]n_šuagina[offerings]n,gud[ox]n_x-ra[na]na,2,gud,3,6
gud[ox]n_x-ra[na]na,gud[ox]n_deg[collect]v/t,2,gud,3,6
gud[ox]n_deg[collect]v/t,gud[ox]n_na[cvne]n_deg[collect]v/t,4,collect,7,6
gud[ox]n_na[cvne]n_deg[collect]v/t,gud[ox]n_babbar[white]v/i,2,gud,3,6
gud[ox]n_babbar[white]v/i,gud[ox]n_giggi[black]v/i,2,gud,3,6
gud[ox]n_giggi[black]v/i,gud[ox]n_su[red]v/i,2,gud,3,6
gud[ox]n_su[red]v/i,gud[ox]n_sissig[green]v/i,2,gud,3,6
gud[ox]n_sissig[green]v/i,gud[ox]n_gunu[speckled]v/i,2,gud,3,6
gud[ox]n_gunu[speckled]v/i,gud[ox]n_dalla[bright]v/i,2,gud,3,6
gud[ox]n_dalla[bright]v/i,gud[ox]n_kur[mountain]n,2,gud,3,6
gud[ox]n_kur[mountain]n,gud[ox]n_hunu[weak]v/i,2,gud,3,6
gud[ox]n_hunu[weak]v/i,gud[ox]n_a₂.gur.x[~oxen]n,2,gud,3,6
gud[ox]n_a₂.gur.x[~oxen]n,gud[ox]n_a₂.gur.x.x[~oxen]n,3,a₂.gur.x,8,6
gud[ox]n_a₂.gur.x.x[~oxen]n,gud[ox]n_a₂-x-x[na]na,2,gud,3,6
gud[ox]n_a₂-x-x[na]na,gud[ox]n_x[na]na,2,gud,3,6
gud[ox]n_x[na]na,gudalim[bovid]n,0,gud,3,6
gudalim[bovid]n,gud[ox]n_an[sky]n,0,gud,3,6
gud[ox]n_an[sky]n,gud[ox]n_dumu[child]n_{d}utu[na]na,2,gud,3,6
gud[ox]n_dumu[child]n_{d}utu[na]na,gud[ox]n_kun[tail]n,2,gud,3,6
gud[ox]n_kun[tail]n,gud[ox]n_lullubi[1]gn,2,gud,3,6
gud[ox]n_lullubi[1]gn,gud[ox]n_ki[place]n_ŋar[place]v/t,2,gud,3,6
gud[ox]n_ki[place]n_ŋar[place]v/t,gud[ox]n_gu[neck]n_ŋar[place]v/t,5,place,5,6
gud[ox]n_gu[neck]n_ŋar[place]v/t,gud[ox]n_ab[cow]n,2,gud,3,6
gud[ox]n_ab[cow]n,gud[ox]n_ab[cow]n_hi[mix]v/t,4,cow,3,6
gud[ox]n_ab[cow]n_hi[mix]v/t,ab[cow]n,2,cow,3,6
ab[cow]n,ab[cow]n_šilam[cow]n,2,cow,3,6
ab[cow]n_šilam[cow]n,ab[cow]n_peš[thick]v/i,3,cow,3,6
ab[cow]n_peš[thick]v/i,ab[cow]n_šar[~cow]n,2,cow,3,6
ab[cow]n_šar[~cow]n,ab[cow]n_suhub[~oxen]n,3,cow,3,6
ab[cow]n_suhub[~oxen]n,ab[cow]n_ubur[breast]n,2,cow,3,6
ab[cow]n_ubur[breast]n,ab[cow]n_utud[bear]v/t,2,cow,3,6
ab[cow]n_utud[bear]v/t,ab[cow]n_utud[bear]v/t,4,bear,4,6
ab[cow]n_utud[bear]v/t,ab[cow]n_ŋeš[penis]n_zu[know]v/t,2,cow,3,6
ab[cow]n_ŋeš[penis]n_zu[know]v/t,ab[cow]n_ŋeš[penis]n_zu[know]v/t,6,penis,5,6
ab[cow]n_ŋeš[penis]n_zu[know]v/t,ab[cow]n_ib[hips]n_gig[sick]v/i,2,cow,3,6
ab[cow]n_ib[hips]n_gig[sick]v/i,ab[cow]n_šag[heart]n_sur[press]v/t,2,cow,3,6
ab[cow]n_šag[heart]n_sur[press]v/t,ab[cow]n_mah[mature]v/i,2,cow,3,6
ab[cow]n_mah[mature]v/i,ab[cow]n_šugi[senior]n,2,cow,3,6
ab[cow]n_šugi[senior]n,ab[cow]n_si[horn]n_ŋal[be]v/i,2,cow,3,6
ab[cow]n_si[horn]n_ŋal[be]v/i,ab[cow]n_si[horn]n_ŋal[be]v/i,6,horn,4,6
ab[cow]n_si[horn]n_ŋal[be]v/i,abzaza[zebu]n,0,ab,2,NA
abzaza[zebu]n,amar[young]n,0,u,1,NA
amar[young]n,amar[young]n_ga[milk]n,2,young,5,7
amar[young]n_ga[milk]n,amar[young]n_ga[milk]n_naŋ[drink]v/t,4,young,5,7
amar[young]n_ga[milk]n_naŋ[drink]v/t,amar[young]n_ga[milk]n_gu[eat]v/t,4,young,5,7
amar[young]n_ga[milk]n_gu[eat]v/t,amar[young]n_ga[milk]n_sub[rub]v/t,4,young,5,7
amar[young]n_ga[milk]n_sub[rub]v/t,amar[young]n_sah[playful]aj,2,young,5,7
amar[young]n_sah[playful]aj,amar[young]n_lirum[strength]n,2,young,5,7
amar[young]n_lirum[strength]n,amar[young]n_banda[junior]v/i,2,young,5,7
amar[young]n_banda[junior]v/i,amar[young]n_mu[year]n_3(aš)[na]na,2,young,5,7
amar[young]n_mu[year]n_3(aš)[na]na,amar[young]n_mu[year]n_2(aš)[na]na,4,young,5,7
amar[young]n_mu[year]n_2(aš)[na]na,amar[young]n_mu[year]n_1(aš)[na]na,4,young,5,7
amar[young]n_mu[year]n_1(aš)[na]na,amar[young]n_babbar[white]v/i,2,young,5,7
amar[young]n_babbar[white]v/i,amar[young]n_giggi[black]v/i,2,young,5,7
amar[young]n_giggi[black]v/i,amar[young]n_su[red]v/i,2,young,5,7
amar[young]n_su[red]v/i,amar[young]n_sissig[green]v/i,2,young,5,7
amar[young]n_sissig[green]v/i,amar[young]n_gunu[speckled]v/i,2,young,5,7
amar[young]n_gunu[speckled]v/i,anše[equid]n,0,u,1,NA
anše[equid]n,dusu[equid]n,1,equid,5,8
dusu[equid]n,kunga[equid]n,1,equid,5,8
kunga[equid]n,anše[equid]n_kaš[runner]n,1,equid,5,8
anše[equid]n_kaš[runner]n,dur[donkey]n_gu[voice]n_di[speak]v/t,0,d,1,NA
dur[donkey]n_gu[voice]n_di[speak]v/t,anše[equid]n_ka-x[na]na,0,e,1,NA
anše[equid]n_ka-x[na]na,dur[donkey]n,0,d,1,NA
dur[donkey]n,dur[donkey]n_aš[na]na,2,donkey,6,9
dur[donkey]n_aš[na]na,anšeʾedenak[equid]n,0,e,1,NA
anšeʾedenak[equid]n,anše[equid]n_nun[prince]n,1,equid,5,10
anše[equid]n_nun[prince]n,anšeŋirnun[equid]n,1,equid,5,10
anšeŋirnun[equid]n,anše[equid]n_guza[chair]n,1,equid,5,10
anše[equid]n_guza[chair]n,anše[equid]n_gigir[chariot]n,2,equid,5,10
anše[equid]n_gigir[chariot]n,anše[equid]n_barag[sack]n_la[hang]v/t,2,equid,5,10
anše[equid]n_barag[sack]n_la[hang]v/t,sisi[horse]n,0,e,1,NA
sisi[horse]n,eme[donkey]n,0,o,1,NA
eme[donkey]n,eme[donkey]n,2,donkey,6,11
eme[donkey]n,eme[donkey]n_šag[heart]n,2,donkey,6,11
eme[donkey]n_šag[heart]n,eme[donkey]n_šagpeš[pregnant]aj,2,donkey,6,11
eme[donkey]n_šagpeš[pregnant]aj,eme[donkey]n_utud[bear]v/t,2,donkey,6,11
eme[donkey]n_utud[bear]v/t,eme[donkey]n_utud[bear]v/t,4,donkey,6,11
eme[donkey]n_utud[bear]v/t,eme[donkey]n_ŋeš[penis]n_zu[know]v/t,2,donkey,6,11
eme[donkey]n_ŋeš[penis]n_zu[know]v/t,eme[donkey]n_ŋeš[penis]n_zu[know]v/t,6,donkey,6,11
eme[donkey]n_ŋeš[penis]n_zu[know]v/t,eme[donkey]n_ib[hips]n_gig[sick]v/i,2,donkey,6,11
eme[donkey]n_ib[hips]n_gig[sick]v/i,eme[donkey]n_šag[heart]n_sur[press]v/t,2,donkey,6,11
eme[donkey]n_šag[heart]n_sur[press]v/t,muš[snake]n,0,ke,2,NA
muš[snake]n,muš[snake]n_huš[reddish]v/i,2,snake,5,12
muš[snake]n_huš[reddish]v/i,muš[snake]n_nirah[1]dn,2,snake,5,12
muš[snake]n_nirah[1]dn,muš[snake]n_ušumgal[dragon]n,2,snake,5,12
muš[snake]n_ušumgal[dragon]n,muš[snake]n_na[stone]n,2,snake,5,12
muš[snake]n_na[stone]n,muš[snake]n_a[water]n,2,snake,5,12
muš[snake]n_a[water]n,muš[snake]n_sahar[dust]n,2,snake,5,12
muš[snake]n_sahar[dust]n,muš[snake]n_gud[nest]n,2,snake,5,12
muš[snake]n_gud[nest]n,muš[snake]n_sas[grass]n,2,snake,5,12
muš[snake]n_sas[grass]n,muš[snake]n_ribba[plant]n,2,snake,5,12
muš[snake]n_ribba[plant]n,muš[snake]n_kindar[hole]n,2,snake,5,12
muš[snake]n_kindar[hole]n,muš[snake]n_kiʾuš[waste]n,2,snake,5,12
