line_a,line_b,overlap,kmer,k,section
niŋtag[cut]n_zagin[lapis]n,bulug[needle]n_zagin[lapis]n,2,lapis,5,4
bulug[needle]n_zagin[lapis]n,lammar[deity]n_zagin[lapis]n,2,lapis,5,4
lammar[deity]n_zagin[lapis]n,alan[statue]n_zagin[lapis]n,2,lapis,5,4
alan[statue]n_zagin[lapis]n,igi[eye]n_zagin[lapis]n,2,lapis,5,4
igi[eye]n_zagin[lapis]n,sigigi[eyebrow]n_zagin[lapis]n,2,lapis,5,4
sigigi[eyebrow]n_zagin[lapis]n,sum[beard]n_zagin[lapis]n,2,lapis,5,4
sum[beard]n_zagin[lapis]n,huwawa[monster]n_zagin[lapis]n,2,lapis,5,4
huwawa[monster]n_zagin[lapis]n,bizaza[frog]n_zagin[lapis]n,2,lapis,5,4
bizaza[frog]n_zagin[lapis]n,abzaza[zebu]n_zagin[lapis]n,2,lapis,5,4
abzaza[zebu]n_zagin[lapis]n,bibra[vessel]n_zagin[lapis]n,2,lapis,5,4
bibra[vessel]n_zagin[lapis]n,kišib[seal]n_zagin[lapis]n,2,lapis,5,4
kišib[seal]n_zagin[lapis]n,lagab[block]n_zagin[lapis]n,2,lapis,5,4
lagab[block]n_zagin[lapis]n,ellaŋ[bead]n_zagin[lapis]n,2,lapis,5,4
ellaŋ[bead]n_zagin[lapis]n,{na₄}x-x[na]na_zagin[lapis]n,2,lapis,5,4
{na₄}x-x[na]na_zagin[lapis]n,zagin[lapis]n_dur[na]na,2,lapis,5,4
zagin[lapis]n_dur[na]na,gug[carnelian]n,0,a,1,NA
gug[carnelian]n,gug[carnelian]n_gazi[condiment]n,2,carnelian,9,5
gug[carnelian]n_gazi[condiment]n,gug[carnelian]n_meluhha[1]gn,2,carnelian,9,5
gug[carnelian]n_meluhha[1]gn,gug[carnelian]n_gid[long]v/i,2,carnelian,9,5
gug[carnelian]n_gid[long]v/i,gug[carnelian]n_lugud[short]v/i,2,carnelian,9,5
gug[carnelian]n_lugud[short]v/i,gug[carnelian]n_burud[perforate]v/t,2,carnelian,9,5
gug[carnelian]n_burud[perforate]v/t,kišib[seal]n_gug[carnelian]n,2,carnelian,9,5
kišib[seal]n_gug[carnelian]n,lagab[block]n_gug[carnelian]n,2,carnelian,9,5
lagab[block]n_gug[carnelian]n,ellaŋ[bead]n_gug[carnelian]n,2,carnelian,9,5
ellaŋ[bead]n_gug[carnelian]n,nir[stone]n,0,ne,2,NA
nir[stone]n,nir[stone]n_ziz[insect]n,2,stone,5,6
nir[stone]n_ziz[insect]n,nir[stone]n_igi[eye]n,2,stone,5,6
nir[stone]n_igi[eye]n,nir[stone]n_pa[branch]n_mušen[bird]n,2,stone,5,6
nir[stone]n_pa[branch]n_mušen[bird]n,nir[stone]n_alal[wood?]n,2,stone,5,6
nir[stone]n_alal[wood?]n,nir[stone]n_alal[wood?]n,4,stone,5,6
nir[stone]n_alal[wood?]n,nir[stone]n_ku-uš-x[na]na,2,stone,5,6
nir[stone]n_ku-uš-x[na]na,nir[stone]n_babbardili[stone]n,2,stone,5,6
nir[stone]n_babbardili[stone]n,nir[stone]n_babbarmin[stone]n,3,babbar,6,6
nir[stone]n_babbarmin[stone]n,nir[stone]n_babbareš[stone]n,3,babbar,6,6
nir[stone]n_babbareš[stone]n,nir[stone]n_mušŋiri[stone]n,3,stone,5,6
nir[stone]n_mušŋiri[stone]n,nirudsud[stone]n,2,stone,5,6
nirudsud[stone]n,kišib[seal]n_nir[stone]n,1,stone,5,6
kišib[seal]n_nir[stone]n,lagab[block]n_nir[stone]n,2,stone,5,6
lagab[block]n_nir[stone]n,ellaŋ[bead]n_nir[stone]n,2,stone,5,6
ellaŋ[bead]n_nir[stone]n,ku[door-socket]n_nir[stone]n,2,stone,5,6
ku[door-socket]n_nir[stone]n,šuba[stone]n,1,stone,5,6
šuba[stone]n,šuba[stone]n_gal[big]v/i,2,stone,5,6
šuba[stone]n_gal[big]v/i,šuba[stone]n_tur[small]v/i,2,stone,5,6
šuba[stone]n_tur[small]v/i,šuba[stone]n_gunu[speckled]v/i,2,stone,5,6
šuba[stone]n_gunu[speckled]v/i,šuba[stone]n_a[arm]n_zid[right]v/i,2,stone,5,6
šuba[stone]n_a[arm]n_zid[right]v/i,šuba[stone]n_a[arm]n_gab[left]n,4,stone,5,6
šuba[stone]n_a[arm]n_gab[left]n,amašpaʾed[stone]n,1,stone,5,6
amašpaʾed[stone]n,durmina[breccia]n,0,e,1,NA
durmina[breccia]n,durminabanda[stone]n,0,durmina,7,7
durminabanda[stone]n,engen[stone]n,1,stone,5,7
engen[stone]n,egizaga[stone]n,1,stone,5,7
egizaga[stone]n,girinhiliba[stone]n,1,stone,5,7
girinhiliba[stone]n,antasura[metal]n,0,e,1,NA
antasura[metal]n,ta.ba[stone]n,0,ta,2,NA
ta.ba[stone]n,hurizum[stone]n,1,stone,5,8
hurizum[stone]n,ezim[stone]n,1,stone,5,8
ezim[stone]n,na[stone]n_babbar[white]v/i,1,stone,5,8
na[stone]n_babbar[white]v/i,na[stone]n_giggi[black]v/i,1,stone,5,8
na[stone]n_giggi[black]v/i,na[stone]n_su[red]v/i,1,stone,5,8
na[stone]n_su[red]v/i,na[stone]n_sissig[green]v/i,1,stone,5,8
na[stone]n_sissig[green]v/i,na[stone]n_gunu[speckled]v/i,1,stone,5,8
na[stone]n_gunu[speckled]v/i,na[stone]n_izi[fire]n,1,stone,5,8
na[stone]n_izi[fire]n,na[stone]n_ze[gall-bladder]n,1,stone,5,8
na[stone]n_ze[gall-bladder]n,na[stone]n_teš[vigor]n,1,stone,5,8
na[stone]n_teš[vigor]n,na[stone]n_arhuš[womb]n,1,stone,5,8
na[stone]n_arhuš[womb]n,na[stone]n_dud[combat]n,1,stone,5,8
na[stone]n_dud[combat]n,aʾura[stone]n,1,stone,5,8
aʾura[stone]n,huduš[stone]n,1,stone,5,8
huduš[stone]n,na[stone]n_utud[bear]v/t,1,stone,5,8
na[stone]n_utud[bear]v/t,na[stone]n_utud[bear]v/t,3,stone,5,8
na[stone]n_utud[bear]v/t,hašbar[stone]n,1,stone,5,8
hašbar[stone]n,naŋa[potash]n,0,o,1,NA
naŋa[potash]n,na[stone]n_muš[snake]n,0,s,1,NA
na[stone]n_muš[snake]n,na[stone]n_igi[eye]n_muš[snake]n,3,stone,5,9
na[stone]n_igi[eye]n_muš[snake]n,na[stone]n_igi[eye]n_kud[fish]n,3,stone,5,9
na[stone]n_igi[eye]n_kud[fish]n,saŋŋar[millstone]n,0,stone,5,9
saŋŋar[millstone]n,saŋkal[stone]n,0,stone,5,9
saŋkal[stone]n,gulgul[stone]n,1,stone,5,9
gulgul[stone]n,saŋ[head]n_gulgul[stone]n,2,gulgul,6,9
saŋ[head]n_gulgul[stone]n,saŋdu[stone]n,1,stone,5,9
saŋdu[stone]n,kinkin[millstone]n,0,stone,5,9
kinkin[millstone]n,kinkin[millstone]n_zibi[stone]n,2,millstone,9,9
kinkin[millstone]n_zibi[stone]n,kinkin[millstone]n_bahar[potter]n,2,millstone,9,9
kinkin[millstone]n_bahar[potter]n,kinkin[millstone]n_adbar[basalt]n,2,millstone,9,9
kinkin[millstone]n_adbar[basalt]n,kinkin[millstone]n_ŋeši[sesame]n,2,millstone,9,9
kinkin[millstone]n_ŋeši[sesame]n,kinkin[millstone]n_ninda[bread]n_ŋeši[sesame]n,4,millstone,9,9
kinkin[millstone]n_ninda[bread]n_ŋeši[sesame]n,kinkin[millstone]n_{ŋeš}mu-sur-ru[na]na,2,millstone,9,9
kinkin[millstone]n_{ŋeš}mu-sur-ru[na]na,kinkin[millstone]n_zidgu[flour]n,2,millstone,9,9
kinkin[millstone]n_zidgu[flour]n,kinkin[millstone]n_niŋ₂-gir₁₅-ra[na]na,2,millstone,9,9
kinkin[millstone]n_niŋ₂-gir₁₅-ra[na]na,kinkin[millstone]n_šu[hand]n_sig[put]v/t,2,millstone,9,9
kinkin[millstone]n_šu[hand]n_sig[put]v/t,našugulgul[millstone]n,1,millstone,9,9
našugulgul[millstone]n,marhali[stone]n,0,stone,5,9
marhali[stone]n,marhuša[stone]n,1,stone,5,9
marhuša[stone]n,bur[bowl]n,0,o,1,NA
bur[bowl]n,bur[bowl]n_izaga[oil]n,2,bowl,4,10
bur[bowl]n_izaga[oil]n,bur[bowl]n_šu[hand]n,2,bowl,4,10
bur[bowl]n_šu[hand]n,bur[bowl]n_marhali[stone]n,2,bowl,4,10
bur[bowl]n_marhali[stone]n,bur[bowl]n_marhuša[stone]n,3,stone,5,10
bur[bowl]n_marhuša[stone]n,bur[bowl]n_babbar[white]v/i,2,bowl,4,10
bur[bowl]n_babbar[white]v/i,bur[bowl]n_kukkug[dark]v/i,2,bowl,4,10
bur[bowl]n_kukkug[dark]v/i,imbabbar[gypsum]n,0,b,1,NA
imbabbar[gypsum]n,kišib[seal]n_imbabbar[gypsum]n,2,imbabbar,8,11
kišib[seal]n_imbabbar[gypsum]n,lagab[block]n_imbabbar[gypsum]n,2,imbabbar,8,11
lagab[block]n_imbabbar[gypsum]n,anzugulme[stone]n,0,o,1,NA
anzugulme[stone]n,kišib[seal]n_anzugulme[stone]n,2,anzugulme,9,12
kišib[seal]n_anzugulme[stone]n,lagab[block]n_anzugulme[stone]n,2,anzugulme,9,12
lagab[block]n_anzugulme[stone]n,durul[stone]n,1,stone,5,12
durul[stone]n,kišib[seal]n_durul[stone]n,2,stone,5,12
kišib[seal]n_durul[stone]n,lagab[block]n_durul[stone]n,2,stone,5,12
lagab[block]n_durul[stone]n,haštum[stone]n,1,stone,5,12
haštum[stone]n,kišib[seal]n_haštum[stone]n,2,haštum,6,12
kišib[seal]n_haštum[stone]n,lagab[block]n_haštum[stone]n,2,haštum,6,12
lagab[block]n_haštum[stone]n,imanak[stone]n,1,stone,5,12
imanak[stone]n,alliga[stone]n,1,stone,5,12
alliga[stone]n,alal[wood?]n,0,al,2,NA
alal[wood?]n,sikil[stone]n,0,o,1,NA
sikil[stone]n,saŋ[head]n_sikil[pure]v/i,1,sikil,5,13
saŋ[head]n_sikil[pure]v/i,na[stone]n_mupada[gift]n,0,e,1,NA
na[stone]n_mupada[gift]n,na[stone]n_kadra[gift]n,2,stone,5,14
na[stone]n_kadra[gift]n,nunuz[egg]n,0,e,1,NA
nunuz[egg]n,nunuztaba[necklace?]n,0,nunuz,5,15
nunuztaba[necklace?]n,nunuz[egg]n_babbar[white]v/i,0,nunuz,5,15
nunuz[egg]n_babbar[white]v/i,nunuz[egg]n_giggi[black]v/i,2,nunuz,5,15
nunuz[egg]n_giggi[black]v/i,nunuzgu[necklace?]n,0,nunuz,5,15
nunuzgu[necklace?]n,iškila[shell]n,0,e,1,NA
iškila[shell]n,iškila[shell]n_ab[sea]n,2,iškila,6,16
iškila[shell]n_ab[sea]n,iškila[shell]n_anše[equid]n,2,iškila,6,16
iškila[shell]n_anše[equid]n,iškila[shell]n,2,iškila,6,16
iškila[shell]n,na[pestle]n,0,e,1,NA
na[pestle]n,narua[stele]n,0,st,2,NA
narua[stele]n,na[pestle]n_zahili[plant]n,0,st,2,NA
na[pestle]n_zahili[plant]n,šu[pestle]n_zahili[plant]n,3,pestle,6,17
šu[pestle]n_zahili[plant]n,na[pestle]n_dubban[stone]n,1,pestle,6,17
na[pestle]n_dubban[stone]n,na[pestle]n_gubin[1]gn,1,pestle,6,17
na[pestle]n_gubin[1]gn,na[pestle]n_la[hang]v/t,1,pestle,6,17
na[pestle]n_la[hang]v/t,ŋirizugalak[flint]n,0,la,2,NA
ŋirizugalak[flint]n,saŋ[head]n_zu[stone]n,0,zu,2,NA
saŋ[head]n_zu[stone]n,na[stone]n_dimme[1]dn,1,stone,5,18
na[stone]n_dimme[1]dn,na[stone]n_kag[mouth]n_muš[snake]n_gu[eat]v/t,1,stone,5,18
na[stone]n_kag[mouth]n_muš[snake]n_gu[eat]v/t,u[emery]n,0,e,1,NA
u[emery]n,u[emery]n_burud[perforate]v/t,2,emery,5,19
u[emery]n_burud[perforate]v/t,zibtum[stone?]n,0,e,1,NA
zibtum[stone?]n,šuhum[stone?]n,1,stone?,6,20
šuhum[stone?]n,kapazum[stone]n,0,stone,5,20
kapazum[stone]n,ayartum[cowrie?]n,0,um,2,NA
ayartum[cowrie?]n,amargu[stone]n,0,ar,2,NA
amargu[stone]n,kimaš[stone]n,1,stone,5,21
kimaš[stone]n,na[stone]n_kila[weight]n,1,stone,5,21
na[stone]n_kila[weight]n,šuʾu[stone]n,1,stone,5,21
šuʾu[stone]n,šumin[stone]n,1,stone,5,21
šumin[stone]n,piriŋgunu[stone]n,1,stone,5,21
piriŋgunu[stone]n,šagara[stone]n,1,stone,5,21
šagara[stone]n,har.suhur[stone]n,1,stone,5,21
har.suhur[stone]n,ziʾummud[stone]n,1,stone,5,21
ziʾummud[stone]n,urbitum[stone]n,1,stone,5,21
urbitum[stone]n,gasura[stone]n,1,stone,5,21
gasura[stone]n,kurgaranum[stone]n,1,stone,5,21
kurgaranum[stone]n,saŋgirmud[stone]n,1,stone,5,21
saŋgirmud[stone]n,kišib[seal]n_saŋgirmud[stone]n,2,saŋgirmud,9,21
kišib[seal]n_saŋgirmud[stone]n,lagab[block]n_saŋgirmud[stone]n,2,saŋgirmud,9,21
lagab[block]n_saŋgirmud[stone]n,abalaʾe[stone]n,1,stone,5,21
abalaʾe[stone]n,na[stone]n_aš[one]nu_gun[load]n,1,stone,5,21
na[stone]n_aš[one]nu_gun[load]n,na[stone]n_ninnu[fifty]nu_mana[unit]n,1,stone,5,21
na[stone]n_ninnu[fifty]nu_mana[unit]n,na[stone]n_nimin[forty]nu_mana[unit]n,3,stone,5,21
na[stone]n_nimin[forty]nu_mana[unit]n,na[stone]n_ušu[thirty]nu_mana[unit]n,3,stone,5,21
na[stone]n_ušu[thirty]nu_mana[unit]n,na[stone]n_niš[twenty]nu_mana[unit]n,3,stone,5,21
na[stone]n_niš[twenty]nu_mana[unit]n,na[stone]n_15[na]na_mana[unit]n,3,stone,5,21
na[stone]n_15[na]na_mana[unit]n,na[stone]n_u[ten]nu_mana[unit]n,3,stone,5,21
na[stone]n_u[ten]nu_mana[unit]n,na[stone]n_ya[five]nu_mana[unit]n,3,stone,5,21
na[stone]n_ya[five]nu_mana[unit]n,na[stone]n_eš[three]nu_mana[unit]n,3,stone,5,21
na[stone]n_eš[three]nu_mana[unit]n,na[stone]n_min[two]nu_mana[unit]n,3,stone,5,21
na[stone]n_min[two]nu_mana[unit]n,na[stone]n_diš[one]nu_mana[unit]n,3,stone,5,21
na[stone]n_diš[one]nu_mana[unit]n,na[stone]n_šanabi[two-thirds]n_mana[unit]n,3,stone,5,21
na[stone]n_šanabi[two-thirds]n_mana[unit]n,na[stone]n_sa[half]n_mana[unit]n,3,stone,5,21
na[stone]n_sa[half]n_mana[unit]n,na[stone]n_šušana[fraction]n_mana[unit]n,3,stone,5,21
na[stone]n_šušana[fraction]n_mana[unit]n,na[stone]n_u[ten]nu_giŋ[unit]n,2,stone,5,21
na[stone]n_u[ten]nu_giŋ[unit]n,na[stone]n_ya[five]nu_giŋ[unit]n,3,stone,5,21
na[stone]n_ya[five]nu_giŋ[unit]n,na[stone]n_limmu[four]nu_giŋ[unit]n,3,stone,5,21
na[stone]n_limmu[four]nu_giŋ[unit]n,na[stone]n_eš[three]nu_giŋ[unit]n,3,stone,5,21
na[stone]n_eš[three]nu_giŋ[unit]n,na[stone]n_min[two]nu_giŋ[unit]n,3,stone,5,21
na[stone]n_min[two]nu_giŋ[unit]n,na[stone]n_diš[one]nu_giŋ[unit]n,3,stone,5,21
na[stone]n_diš[one]nu_giŋ[unit]n,na[stone]n_5/6[na]na_giŋ[unit]n,3,stone,5,21
na[stone]n_5/6[na]na_giŋ[unit]n,na[stone]n_šanabi[two-thirds]n_giŋ[unit]n,3,stone,5,21
na[stone]n_šanabi[two-thirds]n_giŋ[unit]n,na[stone]n_sa[half]n_giŋ[unit]n,3,stone,5,21
na[stone]n_sa[half]n_giŋ[unit]n,na[stone]n_šušana[fraction]n_giŋ[unit]n,3,stone,5,21
na[stone]n_šušana[fraction]n_giŋ[unit]n,na[stone]n_igi[eye]n_limmu[four]nu_ŋal[be]v/i,1,stone,5,21
na[stone]n_igi[eye]n_limmu[four]nu_ŋal[be]v/i,na[stone]n_igi[eye]n_aš[six]nu_ŋal[be]v/i,5,stone,5,21
na[stone]n_igi[eye]n_aš[six]nu_ŋal[be]v/i,na[stone]n_22.1/2[na]na_še[barley]n,1,stone,5,21
na[stone]n_22.1/2[na]na_še[barley]n,na[stone]n_niš[twenty]nu_še[barley]n,3,barley,6,21
na[stone]n_niš[twenty]nu_še[barley]n,na[stone]n_15[na]na_še[barley]n,3,barley,6,21
na[stone]n_15[na]na_še[barley]n,na[stone]n_u[ten]nu_še[barley]n,3,barley,6,21
na[stone]n_u[ten]nu_še[barley]n,na[stone]n_ya[five]nu_še[barley]n,3,barley,6,21
na[stone]n_ya[five]nu_še[barley]n,na[stone]n_eš[three]nu_še[barley]n,3,barley,6,21
na[stone]n_eš[three]nu_še[barley]n,na[stone]n_min[two]nu_še[barley]n,3,barley,6,21
na[stone]n_min[two]nu_še[barley]n,na[stone]n_diš[one]nu_še[barley]n,3,barley,6,21
na[stone]n_diš[one]nu_še[barley]n,u[grass]n,0,s,1,NA
u[grass]n,ligi[plant]n,0,a,1,NA
ligi[plant]n,liligi[plant]n,1,plant,5,22
liligi[plant]n,liligi[plant]n,2,liligi,6,22
liligi[plant]n,{u₂}bur₂-tar[na]na,0,NA,0,NA
{u₂}bur₂-tar[na]na,bur[grass]n,0,bur,3,23
bur[grass]n,gug[grass]n,1,grass,5,23
gug[grass]n,šub[rush]n,0,r,1,NA
šub[rush]n,{u₂}numun₂-x[na]na,0,u,1,NA
{u₂}numun₂-x[na]na,kul[plant]n,0,u,1,NA
kul[plant]n,sas[grass]n,0,a,1,NA
sas[grass]n,ribba[plant]n,0,a,1,NA
ribba[plant]n,amsihara[plant]n,1,plant,5,24
amsihara[plant]n,gazi[condiment]n_amsihara[plant]n,2,amsihara,8,24
gazi[condiment]n_amsihara[plant]n,amsiharranak[plant]n,1,amsihar,7,24
amsiharranak[plant]n,kazal[plant]n,1,plant,5,24
kazal[plant]n,kazal[plant]n,2,plant,5,24
kazal[plant]n,abušu[plant]n,1,plant,5,24
abušu[plant]n,abušu[plant]n_gaz[kill]v/t,2,plant,5,24
abušu[plant]n_gaz[kill]v/t,ušim[greenery]n,0,uš,2,NA
ušim[greenery]n,saŋkešed[strap]n,0,r,1,NA
saŋkešed[strap]n,dudin[plant]n,0,p,1,NA
dudin[plant]n,dih[weed]n,0,di,2,NA
dih[weed]n,bulug[plant]n,0,NA,0,NA
bulug[plant]n,amani[plant]n,1,plant,5,25
amani[plant]n,dumuni[plant]n,1,plant,5,25
dumuni[plant]n,niŋamani[plant]n,1,plant,5,25
niŋamani[plant]n,niŋurum[plant]n,1,plant,5,25
niŋurum[plant]n,iškur[plant]n,1,plant,5,25
iškur[plant]n,kasala[plant]n,1,plant,5,25
kasala[plant]n,šakira[plant]n,1,plant,5,25
šakira[plant]n,u[grass]n_dimme[1]dn,0,a,1,NA
u[grass]n_dimme[1]dn,kamušeguʾe[plant]n,0,a,1,NA
kamušeguʾe[plant]n,sudin[plant]n,1,plant,5,26
sudin[plant]n,u[grass]n_utud[bear]v/t,0,ud,2,NA
u[grass]n_utud[bear]v/t,u[grass]n_utud[bear]v/t,4,grass,5,27
u[grass]n_utud[bear]v/t,hab[plant]n,0,a,1,NA
hab[plant]n,nugig[plant]n,1,plant,5,28
nugig[plant]n,munzer[licorice]n,0,l,1,NA
munzer[licorice]n,lub[turnip]n_zi[cut]v/t,0,r,1,NA
lub[turnip]n_zi[cut]v/t,innuš[plant]n,0,p,1,NA
innuš[plant]n,sikil[plant]n,1,plant,5,29
sikil[plant]n,kubullum[foodstuff]n,0,t,1,NA
kubullum[foodstuff]n,{u₂}x[na]na_kubullum[foodstuff]n,2,foodstuff,9,30
{u₂}x[na]na_kubullum[foodstuff]n,unknown,0,u,1,NA
unknown,{u₂}x-gu-la-da[na]na,0,u,1,NA
{u₂}x-gu-la-da[na]na,ŋirimua[plant]n,0,u,1,NA
ŋirimua[plant]n,ŋiriʾuga[plant]n,1,plant,5,31
ŋiriʾuga[plant]n,ŋiriʾurgira[plant]n,1,ŋiriʾu,6,31
ŋiriʾurgira[plant]n,u[grass]n_sag[good]v/i,0,a,1,NA
u[grass]n_sag[good]v/i,uzudirig[mushroom]n,0,oo,2,NA
uzudirig[mushroom]n,uzudirig[mushroom]n_kur[mountain]n,2,mushroom,8,32
uzudirig[mushroom]n_kur[mountain]n,sar[garden]n,0,r,1,NA
sar[garden]n,šum[garlic]n,0,gar,3,33
šum[garlic]n,šumsikil[vegetable]n,0,šum,3,33
šumsikil[vegetable]n,šumsikil[vegetable]n_tutuba[~vegetable]n,2,vegetable,9,33
šumsikil[vegetable]n_tutuba[~vegetable]n,šumsikil[vegetable]n_lum[na]na,3,vegetable,9,33
šumsikil[vegetable]n_lum[na]na,šum[garlic]n_gaz[kill]v/t,0,šum,3,33
šum[garlic]n_gaz[kill]v/t,šum[garlic]n_širdili[~garlic]n,2,garlic,6,33
šum[garlic]n_širdili[~garlic]n,šum[garlic]n_x[na]na_x[na]na,3,garlic,6,33
šum[garlic]n_x[na]na_x[na]na,unknown,0,u,1,NA
unknown,hazanum[plant]n,0,n,1,NA
hazanum[plant]n,andahšum[plant]n,1,plant,5,34
andahšum[plant]n,zahadin[vegetable]n,0,ah,2,NA
zahadin[vegetable]n,zahili[plant]n,0,zah,3,35
zahili[plant]n,numun[seed]n_zahili[plant]n,2,zahili,6,35
numun[seed]n_zahili[plant]n,numun[seed]n_sar[na]na,2,numun,5,35
numun[seed]n_sar[na]na,gamun[cumin]n,0,mun,3,35
gamun[cumin]n,gamun[cumin]n_babbar[white]v/i,2,cumin,5,35
gamun[cumin]n_babbar[white]v/i,gamun[cumin]n_kukkug[dark]v/i,2,cumin,5,35
gamun[cumin]n_kukkug[dark]v/i,šelu[coriander]n,0,c,1,NA
šelu[coriander]n,šelu[coriander]n_ŋissu[shade]n,2,coriander,9,36
šelu[coriander]n_ŋissu[shade]n,šimbirida[plant]n,0,an,2,NA
šimbirida[plant]n,šimbirida[plant]n_hursaŋ[mountain]n,2,šimbirida,9,37
šimbirida[plant]n_hursaŋ[mountain]n,sullim[spice]n,0,im,2,NA
sullim[spice]n,sullimšuguba[spice]n,1,sullim,6,38
sullimšuguba[spice]n,{u₂}saŋ-ŋa₂{sar}[na]na,0,u,1,NA
{u₂}saŋ-ŋa₂{sar}[na]na,kurgirina[plant]n,0,u,1,NA
kurgirina[plant]n,tabba[vegetable?]n,0,t,1,NA
tabba[vegetable?]n,hi.a[vegetable]n,0,vegetable,9,39
hi.a[vegetable]n,barbar[plant]n,0,l,1,NA
barbar[plant]n,šagki[vegetable]n,0,t,1,NA
šagki[vegetable]n,niŋnagar[plant]n,0,ag,2,NA
niŋnagar[plant]n,hiz[vegetable]n,0,t,1,NA
hiz[vegetable]n,hizurbara[vegetable]n,1,vegetable,9,40
hizurbara[vegetable]n,hiz[vegetable]n_gakkul[heart]n,1,vegetable,9,40
hiz[vegetable]n_gakkul[heart]n,lub[turnip]n,0,t,1,NA
lub[turnip]n,dula[depth]n,0,p,1,NA
dula[depth]n,ganše[plant]n,0,p,1,NA
ganše[plant]n,garaš[leek]n,0,ga,2,NA
garaš[leek]n,saŋ[head]n_garaš[leek]n,2,garaš,5,41
saŋ[head]n_garaš[leek]n,numun[seed]n_garaš[leek]n,2,garaš,5,41
numun[seed]n_garaš[leek]n,garašsaŋ[leek]n,1,garaš,5,41
garašsaŋ[leek]n,garaš[leek]n_dula[depth]n,1,garaš,5,41
garaš[leek]n_dula[depth]n,maš[plant]n,0,aš,2,NA
maš[plant]n,mašgurum[plant]n,1,plant,5,42
mašgurum[plant]n,nuluha[asafoetida]n,0,a,1,NA
nuluha[asafoetida]n,ŋeš[tree]n_nuluha[asafoetida]n,2,asafoetida,10,43
ŋeš[tree]n_nuluha[asafoetida]n,kamkammatum[plant]n,0,t,1,NA
kamkammatum[plant]n,zibibitum[seed]n,0,tum,3,44
zibibitum[seed]n,gibi[vegetable]n,0,ibi,3,44
gibi[vegetable]n,adar[plant]n,0,l,1,NA
adar[plant]n,adar[plant]n_hab[malodorous]v/i,2,plant,5,45
adar[plant]n_hab[malodorous]v/i,dimgi[plant]n,1,plant,5,45
dimgi[plant]n,unknown,0,n,1,NA
unknown,gubi[eel?]n,0,u,1,NA
gubi[eel?]n,suhur[carp]n,0,u,1,NA
suhur[carp]n,suhurmaš[fish]n,0,suhur,5,46
suhurmaš[fish]n,suhursumla[fish]n,1,suhur,5,46
suhursumla[fish]n,suhur-x{ku₆}[na]na,0,suhur,5,46
suhur-x{ku₆}[na]na,sumaš[fish]n,0,su,2,NA
sumaš[fish]n,eštub[carp]n,0,š,1,NA
eštub[carp]n,eštub[na]na_sig{ku₆}[na]na,1,eštub,5,47
